127.0.0.1 - - [28/Aug/2018:09:56:44 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Aug/2018:09:56:54 +0800] "GET /xiezi44/index-2.jsp HTTP/1.1" 200 134662
0:0:0:0:0:0:0:1 - - [28/Aug/2018:10:22:57 +0800] "GET /xiezi44/login.jsp HTTP/1.1" 200 3138
0:0:0:0:0:0:0:1 - - [28/Aug/2018:10:22:58 +0800] "GET /xiezi44/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2018:10:22:58 +0800] "GET /xiezi44/img/register/b3_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2018:10:22:58 +0800] "GET /xiezi44/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2018:10:22:58 +0800] "GET /xiezi44/js/login.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Aug/2018:10:22:58 +0800] "GET /xiezi44/js/header.js HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [28/Aug/2018:10:22:58 +0800] "GET /xiezi44/js/jquery-3.2.1.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Aug/2018:10:22:58 +0800] "GET /xiezi44/img/register/wx.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2018:10:22:58 +0800] "GET /xiezi44/img/register/qq.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2018:10:22:58 +0800] "GET /xiezi44/img/register/wb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2018:10:22:58 +0800] "GET /xiezi44/js/header.js HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [28/Aug/2018:10:22:58 +0800] "GET /xiezi44/js/login.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/Aug/2018:10:23:04 +0800] "GET /xiezi44/vc.do HTTP/1.1" 200 6177
0:0:0:0:0:0:0:1 - - [28/Aug/2018:10:23:04 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
